Date,Event,Opponent,Map,Result,W/L
09/09/23,ESL Pro League Season 18,MIBR,Vertigo,16 - 14,W
08/09/23,ESL Pro League Season 18,HEROIC,Nuke,16 - 10,W
08/09/23,ESL Pro League Season 18,HEROIC,Mirage,16 - 8,W
07/09/23,ESL Pro League Season 18,Evil Geniuses,Inferno,16 - 13,W
07/09/23,ESL Pro League Season 18,Evil Geniuses,Ancient,19 - 15,W
06/09/23,ESL Pro League Season 18,MIBR,Mirage,14 - 16,L
06/09/23,ESL Pro League Season 18,MIBR,Inferno,16 - 7,W
06/09/23,ESL Pro League Season 18,MIBR,Vertigo,9 - 16,L
13/08/23,Thunderpick World Championship 2023 Europe Series 1,BIG,Ancient,19 - 17,W
13/08/23,Thunderpick World Championship 2023 Europe Series 1,BIG,Mirage,16 - 7,W
12/08/23,Thunderpick World Championship 2023 Europe Series 1,Eternal Fire,Mirage,16 - 2,W
12/08/23,Thunderpick World Championship 2023 Europe Series 1,Eternal Fire,Overpass,16 - 8,W
12/08/23,Thunderpick World Championship 2023 Europe Series 1,Eternal Fire,Vertigo,5 - 16,L
11/08/23,Thunderpick World Championship 2023 Europe Series 1,500,Nuke,16 - 13,W
11/08/23,Thunderpick World Championship 2023 Europe Series 1,500,Mirage,16 - 9,W
08/08/23,Thunderpick World Championship 2023 Europe Series 1,Sampi,Overpass,16 - 10,W
08/08/23,Thunderpick World Championship 2023 Europe Series 1,Sampi,Nuke,16 - 10,W
01/08/23,IEM Cologne 2023,Astralis,Nuke,11 - 16,L
01/08/23,IEM Cologne 2023,Astralis,Ancient,8 - 16,L
31/07/23,IEM Cologne 2023,Vitality,Mirage,5 - 16,L
31/07/23,IEM Cologne 2023,Vitality,Inferno,4 - 16,L
29/07/23,IEM Cologne 2023,Natus Vincere,Overpass,16 - 12,W
29/07/23,IEM Cologne 2023,Natus Vincere,Ancient,16 - 9,W
26/07/23,IEM Cologne 2023 Play-in,Ninjas in Pyjamas,Inferno,16 - 7,W
26/07/23,IEM Cologne 2023 Play-in,Ninjas in Pyjamas,Nuke,16 - 12,W
26/07/23,IEM Cologne 2023 Play-in,The MongolZ,Nuke,22 - 19,W
10/06/23,Elisa Invitational Spring 2023,Apeks,Vertigo,7 - 16,L
10/06/23,Elisa Invitational Spring 2023,Apeks,Mirage,12 - 16,L
09/06/23,Elisa Invitational Spring 2023,500,Nuke,16 - 8,W
09/06/23,Elisa Invitational Spring 2023,500,Overpass,16 - 8,W
04/06/23,IEM Dallas 2023,ENCE,Nuke,10 - 16,L
04/06/23,IEM Dallas 2023,ENCE,Mirage,9 - 16,L
03/06/23,IEM Dallas 2023,HEROIC,Ancient,16 - 14,W
03/06/23,IEM Dallas 2023,HEROIC,Overpass,9 - 16,L
03/06/23,IEM Dallas 2023,HEROIC,Vertigo,16 - 8,W
02/06/23,IEM Dallas 2023,Astralis,Ancient,16 - 9,W
02/06/23,IEM Dallas 2023,Astralis,Inferno,22 - 20,W
31/05/23,IEM Dallas 2023,OG,Inferno,16 - 7,W
31/05/23,IEM Dallas 2023,OG,Mirage,16 - 10,W
30/05/23,IEM Dallas 2023,FURIA,Vertigo,16 - 4,W
30/05/23,IEM Dallas 2023,FURIA,Inferno,16 - 10,W
30/05/23,IEM Dallas 2023,HEROIC,Overpass,10 - 16,L
30/05/23,IEM Dallas 2023,HEROIC,Mirage,6 - 16,L
29/05/23,IEM Dallas 2023,fnatic,Nuke,16 - 9,W
09/05/23,BLAST.tv Paris Major 2023 Challengers Stage,GamerLegion,Overpass,5 - 16,L
09/05/23,BLAST.tv Paris Major 2023 Challengers Stage,GamerLegion,Mirage,12 - 16,L
08/05/23,BLAST.tv Paris Major 2023 Challengers Stage,OG,Ancient,11 - 16,L
08/05/23,BLAST.tv Paris Major 2023 Challengers Stage,Ninjas in Pyjamas,Mirage,9 - 16,L
17/04/23,IEM Rio 2023,9INE,Nuke,10 - 16,L
17/04/23,IEM Rio 2023,9INE,Ancient,16 - 9,W
17/04/23,IEM Rio 2023,9INE,Vertigo,11 - 16,L
17/04/23,IEM Rio 2023,BIG,Overpass,6 - 16,L
09/04/23,BLAST.tv Paris Major 2023 Europe RMR A,FaZe,Inferno,19 - 15,W
09/04/23,BLAST.tv Paris Major 2023 Europe RMR A,FaZe,Ancient,9 - 16,L
09/04/23,BLAST.tv Paris Major 2023 Europe RMR A,FaZe,Nuke,16 - 8,W
08/04/23,BLAST.tv Paris Major 2023 Europe RMR A,Virtus.pro,Ancient,16 - 5,W
08/04/23,BLAST.tv Paris Major 2023 Europe RMR A,Virtus.pro,Mirage,16 - 9,W
07/04/23,BLAST.tv Paris Major 2023 Europe RMR A,Falcons,Vertigo,8 - 16,L
06/04/23,BLAST.tv Paris Major 2023 Europe RMR A,SAW,Ancient,16 - 12,W
06/04/23,BLAST.tv Paris Major 2023 Europe RMR A,B8,Ancient,9 - 16,L
02/04/23,BetBoom Playlist Urbanistic 2023,FORZE,Ancient,11 - 16,L
02/04/23,BetBoom Playlist Urbanistic 2023,FORZE,Overpass,7 - 16,L
29/03/23,BetBoom Playlist Urbanistic 2023,Apeks,Overpass,16 - 9,W
29/03/23,BetBoom Playlist Urbanistic 2023,Apeks,Ancient,16 - 3,W
23/03/23,ESL Pro League Season 17,Cloud9,Mirage,10 - 16,L
23/03/23,ESL Pro League Season 17,Cloud9,Vertigo,11 - 16,L
23/03/23,ESL Pro League Season 17,Cloud9,Inferno,16 - 10,W
22/03/23,ESL Pro League Season 17,paiN,Ancient,16 - 7,W
22/03/23,ESL Pro League Season 17,paiN,Inferno,16 - 13,W
22/03/23,ESL Pro League Season 17,paiN,Nuke,9 - 16,L
05/03/23,ESL Pro League Season 17,HEROIC,Inferno,14 - 16,L
05/03/23,ESL Pro League Season 17,HEROIC,Nuke,12 - 16,L
02/03/23,ESL Pro League Season 17,FURIA,Ancient,16 - 9,W
02/03/23,ESL Pro League Season 17,FURIA,Mirage,16 - 12,W
01/03/23,ESL Pro League Season 17,SAW,Ancient,16 - 9,W
01/03/23,ESL Pro League Season 17,SAW,Vertigo,16 - 3,W
06/02/23,IEM Katowice 2023,Complexity,Ancient,12 - 16,L
06/02/23,IEM Katowice 2023,Complexity,Nuke,16 - 12,W
06/02/23,IEM Katowice 2023,Complexity,Inferno,9 - 16,L
04/02/23,IEM Katowice 2023,OG,Mirage,19 - 22,L
04/02/23,IEM Katowice 2023,OG,Overpass,13 - 16,L
04/02/23,IEM Katowice 2023,OG,Inferno,16 - 9,W
12/11/22,IEM Rio Major 2022,Outsiders,Inferno,7 - 16,L
12/11/22,IEM Rio Major 2022,Outsiders,Overpass,16 - 14,W
12/11/22,IEM Rio Major 2022,Outsiders,Ancient,10 - 16,L
10/11/22,IEM Rio Major 2022,Cloud9,Ancient,16 - 9,W
10/11/22,IEM Rio Major 2022,Cloud9,Overpass,16 - 13,W
10/11/22,IEM Rio Major 2022,Cloud9,Inferno,11 - 16,L
08/11/22,IEM Rio Major 2022,ENCE,Mirage,16 - 9,W
08/11/22,IEM Rio Major 2022,ENCE,Nuke,8 - 16,L
08/11/22,IEM Rio Major 2022,ENCE,Ancient,16 - 5,W
07/11/22,IEM Rio Major 2022,Outsiders,Inferno,10 - 16,L
07/11/22,IEM Rio Major 2022,Outsiders,Overpass,10 - 16,L
06/11/22,IEM Rio Major 2022,Vitality,Mirage,19 - 17,W
05/11/22,IEM Rio Major 2022,BIG,Mirage,7 - 16,L
05/11/22,IEM Rio Major 2022,Liquid,Inferno,16 - 2,W
01/11/22,IEM Rio Major 2022 Challengers Stage,fnatic,Ancient,16 - 9,W
01/11/22,IEM Rio Major 2022 Challengers Stage,fnatic,Inferno,9 - 16,L
01/11/22,IEM Rio Major 2022 Challengers Stage,fnatic,Vertigo,16 - 8,W
31/10/22,IEM Rio Major 2022 Challengers Stage,Evil Geniuses,Mirage,16 - 10,W
31/10/22,IEM Rio Major 2022 Challengers Stage,Outsiders,Inferno,16 - 6,W
16/10/22,ESL Challenger Rotterdam 2022,Outsiders,Ancient,12 - 16,L
16/10/22,ESL Challenger Rotterdam 2022,Outsiders,Mirage,9 - 16,L
16/10/22,ESL Challenger Rotterdam 2022,Outsiders,Inferno,16 - 14,W
14/10/22,ESL Challenger Rotterdam 2022,Movistar Riders,Nuke,16 - 8,W
14/10/22,ESL Challenger Rotterdam 2022,Nixuh,Mirage,16 - 2,W
09/10/22,IEM Road to Rio 2022 Europe RMR B,Sangal,Ancient,16 - 12,W
09/10/22,IEM Road to Rio 2022 Europe RMR B,Sangal,Vertigo,9 - 16,L
09/10/22,IEM Road to Rio 2022 Europe RMR B,Sangal,Inferno,19 - 16,W
08/10/22,IEM Road to Rio 2022 Europe RMR B,Vitality,Vertigo,7 - 16,L
08/10/22,IEM Road to Rio 2022 Europe RMR B,Vitality,Mirage,8 - 16,L
08/10/22,IEM Road to Rio 2022 Europe RMR B,Vitality,Inferno,16 - 13,W
06/10/22,IEM Road to Rio 2022 Europe RMR B,K23,Ancient,16 - 10,W
05/10/22,IEM Road to Rio 2022 Europe RMR B,Natus Vincere,Mirage,11 - 16,L
04/10/22,IEM Road to Rio 2022 Europe RMR B,OG,Vertigo,16 - 10,W
29/09/22,ESL Pro League Season 16,Liquid,Ancient,11 - 16,L
29/09/22,ESL Pro League Season 16,Liquid,Inferno,10 - 16,L
25/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,Eternal Fire,Nuke,17 - 19,L
25/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,Eternal Fire,Mirage,16 - 13,W
25/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,Eternal Fire,Vertigo,12 - 16,L
23/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,SINNERS,Nuke,16 - 14,W
23/09/22,TWR Eastern European Masters Fall 2022 - BLAST Premier Qualifier,ONYX,Ancient,16 - 1,W
18/09/22,ESL Pro League Season 16,HEET,Vertigo,16 - 9,W
18/09/22,ESL Pro League Season 16,HEET,Inferno,16 - 12,W
18/09/22,ESL Pro League Season 16,HEET,Ancient,16 - 19,L
17/09/22,ESL Pro League Season 16,Complexity,Inferno,16 - 7,W
17/09/22,ESL Pro League Season 16,Complexity,Ancient,12 - 16,L
17/09/22,ESL Pro League Season 16,Complexity,Overpass,16 - 11,W
16/09/22,ESL Pro League Season 16,ENCE,Overpass,16 - 3,W
16/09/22,ESL Pro League Season 16,ENCE,Mirage,16 - 13,W
15/09/22,ESL Pro League Season 16,Astralis,Nuke,14 - 16,L
15/09/22,ESL Pro League Season 16,Astralis,Inferno,7 - 16,L
14/09/22,ESL Pro League Season 16,HEROIC,Dust2,16 - 9,W
14/09/22,ESL Pro League Season 16,HEROIC,Mirage,16 - 14,W
17/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,Aurora,Mirage,16 - 6,W
17/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,Sprout,Inferno,14 - 16,L
16/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,Portuguese Family,Mirage,16 - 4,W
16/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,Portuguese Family,Inferno,16 - 5,W
16/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,AGO,Mirage,16 - 6,W
16/08/22,IEM Road to Rio 2022 Europe Open Qualifier 1,EC Kyiv,Mirage,16 - 7,W
15/07/22,IEM Cologne 2022,Astralis,Ancient,12 - 16,L
15/07/22,IEM Cologne 2022,Astralis,Nuke,9 - 16,L
15/07/22,IEM Cologne 2022,Astralis,Mirage,16 - 8,W
10/07/22,IEM Cologne 2022,Ninjas in Pyjamas,Mirage,16 - 3,W
10/07/22,IEM Cologne 2022,Ninjas in Pyjamas,Inferno,16 - 12,W
10/07/22,IEM Cologne 2022,Ninjas in Pyjamas,Vertigo,9 - 16,L
09/07/22,IEM Cologne 2022,Vitality,Nuke,16 - 12,W
09/07/22,IEM Cologne 2022,Vitality,Overpass,16 - 10,W
09/07/22,IEM Cologne 2022,Vitality,Inferno,12 - 16,L
08/07/22,IEM Cologne 2022,HEROIC,Nuke,16 - 10,W
08/07/22,IEM Cologne 2022,HEROIC,Vertigo,16 - 13,W
07/07/22,IEM Cologne 2022,Natus Vincere,Inferno,6 - 16,L
07/07/22,IEM Cologne 2022,Natus Vincere,Mirage,16 - 14,W
07/07/22,IEM Cologne 2022,Natus Vincere,Nuke,12 - 16,L
06/07/22,IEM Cologne 2022 Play-in,TYLOO,Ancient,16 - 11,W
06/07/22,IEM Cologne 2022 Play-in,TYLOO,Overpass,16 - 7,W
05/07/22,IEM Cologne 2022 Play-in,HEROIC,Nuke,7 - 16,L
05/07/22,IEM Cologne 2022 Play-in,HEROIC,Inferno,16 - 11,W
05/07/22,IEM Cologne 2022 Play-in,HEROIC,Ancient,5 - 16,L
05/07/22,IEM Cologne 2022 Play-in,paiN,Nuke,19 - 16,W
26/06/22,Roobet Cup 2022,Eternal Fire,Inferno,13 - 16,L
26/06/22,Roobet Cup 2022,Eternal Fire,Mirage,12 - 16,L
26/06/22,Roobet Cup 2022,Eternal Fire,Nuke,16 - 2,W
24/06/22,Roobet Cup 2022,ENCE,Overpass,4 - 16,L
24/06/22,Roobet Cup 2022,ENCE,Nuke,8 - 16,L
24/06/22,Roobet Cup 2022,ENCE,Mirage,16 - 13,W
23/06/22,Roobet Cup 2022,Imperial,Inferno,16 - 7,W
23/06/22,Roobet Cup 2022,Imperial,Nuke,16 - 11,W
11/06/22,Global Esports Tour Dubai 2022,Ninjas in Pyjamas,Mirage,8 - 16,L
11/06/22,Global Esports Tour Dubai 2022,Ninjas in Pyjamas,Inferno,11 - 16,L
11/06/22,Global Esports Tour Dubai 2022,Ninjas in Pyjamas,Nuke,16 - 11,W
10/06/22,Global Esports Tour Dubai 2022,Movistar Riders,Ancient,16 - 12,W
10/06/22,Global Esports Tour Dubai 2022,Movistar Riders,Vertigo,16 - 14,W
09/06/22,Global Esports Tour Dubai 2022,Falcons,Mirage,16 - 9,W
09/06/22,Global Esports Tour Dubai 2022,Falcons,Nuke,16 - 8,W
31/05/22,IEM Dallas 2022,Vitality,Mirage,7 - 16,L
31/05/22,IEM Dallas 2022,Vitality,Inferno,14 - 16,L
30/05/22,IEM Dallas 2022,Movistar Riders,Mirage,16 - 10,W
30/05/22,IEM Dallas 2022,Movistar Riders,Ancient,16 - 9,W
30/05/22,IEM Dallas 2022,ENCE,Nuke,9 - 16,L
27/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,Sprout,Inferno,12 - 16,L
27/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,Sprout,Vertigo,14 - 16,L
27/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,FORZE,Ancient,16 - 12,W
27/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,FORZE,Overpass,19 - 16,W
26/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,Sprout,Inferno,17 - 19,L
26/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,Sprout,Overpass,14 - 16,L
25/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,FORZE,Ancient,16 - 8,W
25/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,FORZE,Mirage,16 - 11,W
25/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,1win,Nuke,16 - 11,W
25/05/22,ESL Challenger Valencia 2022 Europe Closed Qualifier,1win,Vertigo,16 - 11,W
04/05/22,IEM Dallas 2022 Europe Closed Qualifier,BIG,Vertigo,19 - 17,W
04/05/22,IEM Dallas 2022 Europe Closed Qualifier,BIG,Ancient,16 - 13,W
04/05/22,IEM Dallas 2022 Europe Closed Qualifier,Copenhagen Flames,Vertigo,16 - 10,W
04/05/22,IEM Dallas 2022 Europe Closed Qualifier,Copenhagen Flames,Mirage,16 - 3,W
03/05/22,IEM Dallas 2022 Europe Closed Qualifier,EC Kyiv,Inferno,16 - 13,W
03/05/22,IEM Dallas 2022 Europe Closed Qualifier,EC Kyiv,Vertigo,16 - 11,W
03/05/22,IEM Dallas 2022 Europe Closed Qualifier,BIG,Vertigo,7 - 16,L
03/05/22,IEM Dallas 2022 Europe Closed Qualifier,BIG,Overpass,16 - 4,W
03/05/22,IEM Dallas 2022 Europe Closed Qualifier,BIG,Nuke,9 - 16,L
02/05/22,IEM Dallas 2022 Europe Closed Qualifier,Movistar Riders,Inferno,16 - 6,W
02/05/22,IEM Dallas 2022 Europe Closed Qualifier,Movistar Riders,Ancient,16 - 11,W
20/04/22,PGL Major Antwerp 2022 Europe RMR A,Vitality,Mirage,13 - 16,L
20/04/22,PGL Major Antwerp 2022 Europe RMR A,Vitality,Dust2,11 - 16,L
20/04/22,PGL Major Antwerp 2022 Europe RMR A,Vitality,Nuke,16 - 13,W
19/04/22,PGL Major Antwerp 2022 Europe RMR A,FaZe,Inferno,11 - 16,L
19/04/22,PGL Major Antwerp 2022 Europe RMR A,FaZe,Nuke,5 - 16,L
18/04/22,PGL Major Antwerp 2022 Europe RMR A,Outsiders,Inferno,16 - 12,W
17/04/22,PGL Major Antwerp 2022 Europe RMR A,QUAZAR,Ancient,16 - 4,W
17/04/22,PGL Major Antwerp 2022 Europe RMR A,OG,Mirage,12 - 16,L
12/04/22,IEM Dallas 2022 Europe Open Qualifier 1,FTW,Ancient,16 - 10,W
12/04/22,IEM Dallas 2022 Europe Open Qualifier 1,FTW,Vertigo,16 - 3,W
12/04/22,IEM Dallas 2022 Europe Open Qualifier 1,INDE IRAE,Inferno,16 - 13,W
12/04/22,IEM Dallas 2022 Europe Open Qualifier 1,Sprout,Ancient,16 - 11,W
13/03/22,ESL Pro League Season 15,Looking For Org,Nuke,16 - 12,W
13/03/22,ESL Pro League Season 15,Looking For Org,Dust2,16 - 6,W
12/03/22,ESL Pro League Season 15,fnatic,Mirage,8 - 16,L
12/03/22,ESL Pro League Season 15,fnatic,Inferno,10 - 16,L
12/03/22,ESL Pro League Season 15,fnatic,Nuke,16 - 9,W
11/03/22,ESL Pro League Season 15,Ninjas in Pyjamas,Mirage,11 - 16,L
11/03/22,ESL Pro League Season 15,Ninjas in Pyjamas,Vertigo,19 - 16,W
11/03/22,ESL Pro League Season 15,Ninjas in Pyjamas,Inferno,10 - 16,L
10/03/22,ESL Pro League Season 15,G2,Mirage,19 - 17,W
10/03/22,ESL Pro League Season 15,G2,Nuke,16 - 12,W
09/03/22,ESL Pro League Season 15,Entropiq,Mirage,10 - 16,L
09/03/22,ESL Pro League Season 15,Entropiq,Dust2,13 - 16,L
19/02/22,IEM Katowice 2022,Ninjas in Pyjamas,Ancient,6 - 16,L
19/02/22,IEM Katowice 2022,Ninjas in Pyjamas,Vertigo,11 - 16,L
18/02/22,IEM Katowice 2022,OG,Ancient,16 - 9,W
18/02/22,IEM Katowice 2022,OG,Nuke,16 - 12,W
17/02/22,IEM Katowice 2022,Vitality,Nuke,10 - 16,L
17/02/22,IEM Katowice 2022,Vitality,Inferno,19 - 17,W
17/02/22,IEM Katowice 2022,Vitality,Vertigo,19 - 22,L
16/02/22,IEM Katowice 2022 Play-in,Entropiq,Ancient,16 - 6,W
16/02/22,IEM Katowice 2022 Play-in,Entropiq,Vertigo,16 - 14,W
15/02/22,IEM Katowice 2022 Play-in,FaZe,Mirage,14 - 16,L
15/02/22,IEM Katowice 2022 Play-in,FaZe,Inferno,10 - 16,L
15/02/22,IEM Katowice 2022 Play-in,FaZe,Nuke,16 - 7,W
15/02/22,IEM Katowice 2022 Play-in,GODSENT,Nuke,16 - 8,W
02/12/21,IEM Winter 2021,Astralis,Nuke,10 - 16,L
02/12/21,IEM Winter 2021,Astralis,Ancient,6 - 16,L
02/12/21,IEM Winter 2021,Vitality,Overpass,16 - 19,L
12/11/21,DreamHack Open November 2021,MAD Lions,Nuke,8 - 16,L
12/11/21,DreamHack Open November 2021,MAD Lions,Dust2,13 - 16,L
11/11/21,DreamHack Open November 2021,GamerLegion,Nuke,16 - 13,W
11/11/21,DreamHack Open November 2021,GamerLegion,Ancient,16 - 11,W
10/11/21,DreamHack Open November 2021,MAD Lions,Mirage,8 - 16,L
10/11/21,DreamHack Open November 2021,MAD Lions,Nuke,16 - 10,W
10/11/21,DreamHack Open November 2021,MAD Lions,Dust2,12 - 16,L
01/11/21,PGL Major Stockholm 2021,Virtus.pro,Vertigo,18 - 22,L
01/11/21,PGL Major Stockholm 2021,Virtus.pro,Inferno,3 - 16,L
01/11/21,PGL Major Stockholm 2021,Virtus.pro,Ancient,16 - 9,W
31/10/21,PGL Major Stockholm 2021,ENCE,Vertigo,16 - 10,W
31/10/21,PGL Major Stockholm 2021,ENCE,Mirage,16 - 6,W
30/10/21,PGL Major Stockholm 2021,FURIA,Inferno,9 - 16,L
30/10/21,PGL Major Stockholm 2021,Ninjas in Pyjamas,Inferno,12 - 16,L
29/10/21,PGL Major Stockholm 2021 Challengers Stage,BIG,Nuke,16 - 12,W
29/10/21,PGL Major Stockholm 2021 Challengers Stage,BIG,Inferno,16 - 12,W
29/10/21,PGL Major Stockholm 2021 Challengers Stage,BIG,Dust2,10 - 16,L
28/10/21,PGL Major Stockholm 2021 Challengers Stage,Renegades,Vertigo,16 - 6,W
28/10/21,PGL Major Stockholm 2021 Challengers Stage,Renegades,Inferno,16 - 10,W
28/10/21,PGL Major Stockholm 2021 Challengers Stage,Renegades,Mirage,14 - 16,L
27/10/21,PGL Major Stockholm 2021 Challengers Stage,ENCE,Nuke,11 - 16,L
26/10/21,PGL Major Stockholm 2021 Challengers Stage,HEROIC,Nuke,11 - 16,L
26/10/21,PGL Major Stockholm 2021 Challengers Stage,Sharks,Inferno,16 - 6,W
18/10/21,IEM Winter 2021 Europe Closed Qualifier,K23,Nuke,16 - 8,W
18/10/21,IEM Winter 2021 Europe Closed Qualifier,K23,Inferno,22 - 18,W
18/10/21,IEM Winter 2021 Europe Closed Qualifier,9z,Vertigo,19 - 16,W
18/10/21,IEM Winter 2021 Europe Closed Qualifier,9z,Dust2,16 - 8,W
03/10/21,IEM Fall 2021 Europe,G2,Mirage,10 - 16,L
02/10/21,IEM Fall 2021 Europe,Copenhagen Flames,Nuke,8 - 16,L
01/10/21,IEM Fall 2021 Europe,AURA,Mirage,16 - 10,W
30/09/21,IEM Fall 2021 Europe,FunPlus Phoenix,Nuke,12 - 16,L
29/09/21,IEM Fall 2021 Europe,BIG,Mirage,16 - 10,W
07/09/21,ESL Pro League Season 14,Ninjas in Pyjamas,Inferno,8 - 16,L
07/09/21,ESL Pro League Season 14,Ninjas in Pyjamas,Vertigo,16 - 6,W
07/09/21,ESL Pro League Season 14,Ninjas in Pyjamas,Ancient,12 - 16,L
31/08/21,ESL Pro League Season 14,BIG,Mirage,16 - 12,W
31/08/21,ESL Pro League Season 14,BIG,Dust2,7 - 16,L
31/08/21,ESL Pro League Season 14,BIG,Nuke,16 - 12,W
30/08/21,ESL Pro League Season 14,fnatic,Nuke,19 - 16,W
30/08/21,ESL Pro League Season 14,fnatic,Mirage,16 - 10,W
29/08/21,ESL Pro League Season 14,Evil Geniuses,Nuke,16 - 11,W
29/08/21,ESL Pro League Season 14,Evil Geniuses,Inferno,16 - 8,W
28/08/21,ESL Pro League Season 14,Natus Vincere,Mirage,9 - 16,L
28/08/21,ESL Pro League Season 14,Natus Vincere,Ancient,9 - 16,L
27/08/21,ESL Pro League Season 14,FaZe,Inferno,8 - 16,L
27/08/21,ESL Pro League Season 14,FaZe,Ancient,16 - 7,W
27/08/21,ESL Pro League Season 14,FaZe,Overpass,14 - 16,L
09/07/21,IEM Cologne 2021,Liquid,Inferno,25 - 28,L
09/07/21,IEM Cologne 2021,Liquid,Dust2,16 - 12,W
09/07/21,IEM Cologne 2021,Liquid,Nuke,9 - 16,L
08/07/21,IEM Cologne 2021,Gambit,Mirage,12 - 16,L
08/07/21,IEM Cologne 2021,Gambit,Vertigo,3 - 16,L
08/07/21,IEM Cologne 2021,Gambit,Inferno,16 - 14,W
07/07/21,IEM Cologne 2021 Play-in,Evil Geniuses,Inferno,16 - 8,W
07/07/21,IEM Cologne 2021 Play-in,Evil Geniuses,Nuke,16 - 12,W
06/07/21,IEM Cologne 2021 Play-in,Ninjas in Pyjamas,Ancient,11 - 16,L
06/07/21,IEM Cologne 2021 Play-in,Ninjas in Pyjamas,Mirage,8 - 16,L
06/07/21,IEM Cologne 2021 Play-in,Bad News Bears,Nuke,16 - 7,W
26/06/21,Gamers Without Borders 2021,BIG,Vertigo,12 - 16,L
26/06/21,Gamers Without Borders 2021,BIG,Nuke,14 - 16,L
26/06/21,Gamers Without Borders 2021,BIG,Mirage,19 - 16,W
23/06/21,Gamers Without Borders 2021,Ninjas in Pyjamas,Mirage,16 - 8,W
23/06/21,Gamers Without Borders 2021,Ninjas in Pyjamas,Ancient,16 - 6,W
23/06/21,Gamers Without Borders 2021,Ninjas in Pyjamas,Vertigo,3 - 16,L
23/06/21,Gamers Without Borders 2021,MIBR,Ancient,19 - 16,W
23/06/21,Gamers Without Borders 2021,MIBR,Mirage,16 - 4,W
22/06/21,Gamers Without Borders 2021,ENCE,Overpass,12 - 16,L
22/06/21,Gamers Without Borders 2021,ENCE,Ancient,7 - 16,L
30/05/21,Flashpoint 3,Ninjas in Pyjamas,Inferno,16 - 9,W
30/05/21,Flashpoint 3,Ninjas in Pyjamas,Nuke,16 - 6,W
30/05/21,Flashpoint 3,Ninjas in Pyjamas,Overpass,13 - 16,L
27/05/21,Flashpoint 3,G2,Nuke,16 - 13,W
27/05/21,Flashpoint 3,G2,Inferno,16 - 10,W
23/05/21,Flashpoint 3,Astralis,Overpass,16 - 12,W
23/05/21,Flashpoint 3,Astralis,Nuke,19 - 17,W
19/05/21,Flashpoint 3,BIG,Nuke,16 - 11,W
19/05/21,Flashpoint 3,BIG,Mirage,16 - 5,W
11/05/21,Flashpoint 3,fnatic,Overpass,16 - 4,W
11/05/21,Flashpoint 3,fnatic,Inferno,16 - 8,W
30/04/21,Flashpoint 3 Closed Qualifier,Complexity,Overpass,16 - 8,W
30/04/21,Flashpoint 3 Closed Qualifier,Complexity,Nuke,16 - 10,W
30/04/21,DreamHack Masters Spring 2021,G2,Mirage,12 - 16,L
30/04/21,DreamHack Masters Spring 2021,G2,Vertigo,10 - 16,L
30/04/21,Flashpoint 3 Closed Qualifier,Anonymo,Overpass,16 - 14,W
30/04/21,Flashpoint 3 Closed Qualifier,Anonymo,Vertigo,16 - 6,W
29/04/21,DreamHack Masters Spring 2021,FaZe,Overpass,19 - 17,W
29/04/21,DreamHack Masters Spring 2021,FaZe,Nuke,16 - 5,W
29/04/21,DreamHack Masters Spring 2021,FaZe,Mirage,7 - 16,L
29/04/21,DreamHack Masters Spring 2021,Natus Vincere,Overpass,14 - 16,L
28/04/21,Flashpoint 3 Closed Qualifier,Complexity,Nuke,13 - 16,L
28/04/21,Flashpoint 3 Closed Qualifier,Complexity,Vertigo,13 - 16,L
28/04/21,Flashpoint 3 Closed Qualifier,Complexity,Mirage,16 - 12,W
28/04/21,IEM Summer 2021 Closed Qualifier,G2,Dust2,10 - 16,L
28/04/21,IEM Summer 2021 Closed Qualifier,G2,Nuke,8 - 16,L
28/04/21,Flashpoint 3 Closed Qualifier,HAVU,Train,16 - 11,W
28/04/21,Flashpoint 3 Closed Qualifier,HAVU,Nuke,16 - 11,W
28/04/21,IEM Summer 2021 Closed Qualifier,Movistar Riders,Vertigo,19 - 16,W
28/04/21,IEM Summer 2021 Closed Qualifier,Movistar Riders,Train,16 - 8,W
27/04/21,Flashpoint 3 Closed Qualifier,Movistar Riders,Inferno,16 - 12,W
27/04/21,Flashpoint 3 Closed Qualifier,Movistar Riders,Vertigo,16 - 7,W
27/04/21,Flashpoint 3 Closed Qualifier,Movistar Riders,Train,11 - 16,L
